Frame	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	L1	L2	L3	L4	L5	L6	L7	L8
23	3.1791996193803063	9.585673078910384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
24	3.1769917731337975	9.593299889942957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
25	3.173768391270149	9.59998462818287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
26	3.1779025787632214	9.61162697120949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
27	3.167810751111851	9.605570281498016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
28	3.167711084991674	9.619790181154928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
29	3.1635674602909174	9.626737790385251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
30	3.155026557160917	9.637484951120205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
31	3.1524513503421154	9.650401863219246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
32	3.1543015033998136	9.66058562748016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
33	3.1569082443028282	9.664716254340277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
34	3.1519629173005086	9.661712420428241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
35	3.153921252982879	9.666253694403109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
36	3.1566092459422967	9.663254833726025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
37	3.1516436634698257	9.664304186301257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
38	3.158373083076054	9.669116856812169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
39	3.1562943654517603	9.672380719866071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
40	3.1543509911962064	9.670192496486441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
41	3.159686235998941	9.678638470362102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
42	3.1596708142205303	9.678990149119544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
